id,territory,category,Name
IND,1,1,INDAG Gesellschaft für Industriebedarf mbH & Co. Betriebs KG
FDK,2,2,Felix Daniel Knetsch
HCA,1,1,Heidelberg Zement AG
IHE,3,2,"Ingeborg, Hertz"
GYG,4,1,GYG
SDR,3,2,"Dräger, Stefan"
HPL,1,2,Prof. Dr. Hasso Plattner
DVH,2,1,Deutsche Vermögensberatung Holding GmbH
MIM,1,2,"Mühleck, Michael"
GFG,1,2,Graf Friedrich von der Groeben
PGN,1,2,Prof. Dr. Georg Nemetschek
SHG,1,1,Schatt Holding GmbH
VCI,2,1,Verband der chemischen Industrie e.V.
KLG,1,1,KLAUS GmbH & Co. KG
BAG,1,1,BayWa
JIM,4,1,Juwi Immobilien GmbH
CPE,3,2,Christian Pegel
JWO,1,2,Joachim Wolbergs
WVM,2,2,Wolfgang von Moers
CHS,3,1,CPO Hanser Service GmbH
MSU,3,2,Marga Süsselbeck
LH,2,2,"Helmig, Lutz Dr."
LD,3,2,"Dittrich, Lars "
SPD,4,1,SPD
CSU,4,1,CSU
DAO,4,2,"Oetker, Arend, Dr."
MAG,2,1,Märkischer Arbeitgeberverband e.V.
SKL,2,2,"Klatten, Susanne"
EIA,2,1,Evonik Industries AG
DVA,2,1,Deutsche Vermögensberatung AG DVAG
ADV,2,1,Allfinanz Deutsche Vermögensberatung AG
HPW,1,2,Dr. Hans-Peter Wild
UBG,2,1,UBG Unternehmensberatung und Betreuung GmbH
VBC,1,1,Verein der Bayrischen chemischen Industrie e.V.
HSB,1,2,Henriette Schmidt-Burkhardt
FIA,1,1,Fondara Immobilien AG
SIXT,1,1,SIXT gmbh
OEKAB,1,1,"Oetker, August, Dr."
